PK,FK_TAX_FAM,FK_TAX_GEN,FK_TAX_SPE,Comment,,,,,,,,
115,,51,101,Lachnospiraceae; Lactobacillus; paracasei,,,,,,,,
116,,51,117,Lachnospiraceae; Lactobacillus; ruminis,,,,,,,,
117,,52,10,Lachnospiraceae; ﻿Laedolimicola; ﻿ammoniilytica,,,,,,,,
118,,53,17,"Lachnospiraceae; Lawsonibacter; (Pseudoflavonifractor,; Flavonifractor); asaccharolyticus; (sp.)
",,,,,,,,
119,,54,52,Lachnospiraceae; Mediterraneibacter; faecis,,,,,,,,
120,,54,2,Lachnospiraceae; Mediterraneibacter; sp. nov,,,,,,,,
121,,57,3,Lachnospiraceae; Muricoprocola; aceti,,,,,,,,
122,,58,3,Lachnospiraceae; ﻿Muriventricola; ﻿aceti,,,,,,,,
123,,61,4,Lachnospiraceae; Oscillibacter; acetigenes,,,,,,,,
124,,68,10,Lachnospiraceae; Porcipelethomonas; ammoniilytica,,,,,,,,
125,,70,13,Lachnospiraceae; Roseburia; amylophila,,,,,,,,
126,,70,52,Lachnospiraceae; Roseburia; faecis,,,,,,,,
127,,70,78,Lachnospiraceae; Roseburia; intestinalis,,,,,,,,
128,,70,80,Lachnospiraceae; Roseburia; inulinivorans,,,,,,,,
129,,70,2,Lachnospiraceae; Roseburia; sp. nov,,,,,,,,
130,,71,84,Lachnospiraceae; Ruminococcus; lactaris,,,,,,,,
131,,71,2,Lachnospiraceae; Ruminococcus; sp. nov,,,,,,,,
132,,71,134,Lachnospiraceae; Ruminococcus; torques,,,,,,,,
133,,71,20,Lachnospiraceae; Ruminococcus; bromii,,,,,,,,
134,,71,64,Lachnospiraceae; Ruminococcus; gnavus,,,,,,,,
135,,72,85,Lachnospiraceae; Ruthenibacterium; lactatiformans,,,,,,,,
136,,77,3,Lactobacillaceae; ﻿Suilimivivens; ﻿aceti,,,,,,,,
137,,78,151,Lactobacillaceae; Suonthocola; fibrivorans,,,,,,,,
138,,59,126,Marinifilaceae; Odoribacter; splanchnicus,,,,,,,,
139,,22,140,Marinifilaceae; Butyricimonas; virosa,,,,,,,,
140,,62,133,Paenibacilaceae; Paenibacillus; timonensis,,,,,,,,
141,,4,4,﻿Peptoniphilaceae; ﻿Aedoeadaptatus; ﻿acetigenes,,,,,,,,
142,,65,83,Peptoniphilaceae; Peptoniphilus; lacrimalis,,,,,,,,
143,22,2,,Prevotellaceae; gen. Nov,,,,,,,,
144,,89,33,Prevotellaceae; Paraprevotella; clara,,,,,,,,
145,,69,38,Prevotellaceae; Prevotella; copri,,,,,,,,
146,,7,77,Rikenellaceae; Alistipes; inops,,,,,,,,
147,,7,97,Rikenellaceae; Alistipes; onderdonkii,,,,,,,,
148,,7,113,Rikenellaceae; Alistipes; putredinis,,,,,,,,
149,,7,122,Rikenellaceae; Alistipes; shahii,,,,,,,,
150,,73,95,Selenomonadaceae; Selenomonas; noxia,,,,,,,,
151,,75,1,Staphylococcaceae; Staphylococcus; sp.,,,,,,,,
152,,76,1,Streptococcaceae; Streptococcus; sp.,,,,,,,,
153,,56,92,Sutterellaceae; Mesosutterella; multiformis,,,,,,,,
154,,79,142,Sutterellaceae; Sutterella; wadsworthensis,,,,,,,,
155,,63,2,Tannerellaceae; Parabacteroides; sp. nov,,,,,,,,
156,,63,42,Tannerellaceae; Parabacteroides; distasonis,,,,,,,,
157,,63,65,Tannerellaceae; Parabacteroides; goldsteinii,,,,,,,,
158,,63,91,Tannerellaceae; Parabacteroides; merdae,,,,,,,,
